qpcr_plate,qpcr_date,well,swab_id,bird_ID,band_number,dppi,cq_value,quantity,log10_quantity,extraction_plate,extraction_date,extr_neg_cntrls,cq8,cq7,cq6,cq5,cq4,cq3,cq2,cq1,qpcr_neg_cntrls,slope,efficiency,r2,y_inter,error
1,20230614,C10,2603 PID 3,3_2603,2603,3,NA,0,0,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,C11,2903 PID 3,3_2903,2903,3,NA,0,0,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,C12,2904 PID 3,3_2904,2904,3,31.09274579,183.3582961,2.265662686,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,D5,2690 PID -12,-12_2690,2690,-12,NA,0,0,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,D6,2741 PID -12,-12_2741,2741,-12,NA,0,0,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,D7,2687 PID -12,-12_2687,2687,-12,NA,0,0,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,D8,2894 PID -12,-12_2894,2894,-12,NA,0,0,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,D9,2687 PID 3,3_2687,2687,3,NA,0,0,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,D11,2850 PID 3,3_2850,2850,3,35.19224894,11.80979566,1.107542202,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,D12,2889 PID 3,3_2889,2889,3,NA,0,0,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,E5,2850 PID -12,-12_2850,2850,-12,NA,0,0,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,E6,2874 PID -12,-12_2874,2874,-12,NA,0,0,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,E7,2914 PID -12,-12_2914,2914,-12,NA,0,0,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,E8,2689 PID -12,-12_2689,2689,-12,NA,0,0,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,E9,2928 PID 3,3_2928,2928,3,NA,0,0,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,E10,2653 PID 3,3_2653,2653,3,39.76105335,0.555692747,0.191923827,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,E11,2648 PID 3,3_2648,2648,3,NA,0,0,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,E12,2802 PID 3,3_2802,2802,3,NA,0,0,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,F5,2889 PID -12,-12_2889,2889,-12,NA,0,0,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,F6,2907 PID -12,-12_2907,2907,-12,NA,0,0,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,F7,2911 PID -12,-12_2911,2911,-12,NA,0,0,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,F8,2764 PID -12,-12_2764,2764,-12,NA,0,0,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,F9,2775 PID 3,3_2775,2775,3,NA,0,0,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,F10,2874 PID 3,3_2874,2874,3,NA,0,0,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,F11,2926 PID 3,3_2926,2926,3,37.6775041,2.239666218,0.510500267,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,F12,2842 PID 3,3_2842,2842,3,39.62859395,0.607182313,0.206065144,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,G5,2903 PID -12,-12_2903,2903,-12,NA,0,0,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,G7,2928 PID -12,-12_2928,2928,-12,NA,0,0,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,G8,2842 PID -12,-12_2842,2842,-12,NA,0,0,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,G9,2880 PID 3,3_2880,2880,3,36.40074828,5.261727652,0.796694174,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,G10,2920 PID 3,3_2920,2920,3,NA,0,0,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,G11,2879 PID 3,3_2879,2879,3,36.39239321,5.291220065,0.798734877,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,G12,2874 PID 9,9_2874,2874,9,28.2688176,1212.709449,3.084114733,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,H5,2869 PID -12,-12_2869,2869,-12,NA,0,0,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
1,20230614,H6,2926 PID -12,-12_2926,2926,-12,NA,0,0,1,20230509,neg,NA,12.84196888,16.08823357,19.67959867,23.17088886,26.44244527,30.07430019,33.38760017,neg,-3.4419,95.22759386,0.999507156,38.8828,0.017533847
