bird_ID,elisa_od,elisa_cv,dpi,,,,,,,,,,
-28_2892,0.04195,0.17,-28,,,,,,,,,,
-28_2893,0.04375,0.48,-28,,,,,,,,,,
-28_2894,0.04545,3.89,-28,,,,,,,,,,
-28_2903,0.04635,5.34,-28,,,,,,,,,,
-28_2904,0.0487,8.13,-28,,,,,,,,,,
-28_2906,0.0484,2.34,-28,,,,,,,,,,
-28_2907,0.0425,1.33,-28,,,,,,,,,,
-28_2911,0.04715,7.05,-28,,,,,,,,,,
-28_2914,0.0441,0.32,-28,,,,,,,,,,
-28_2920,0.04425,1.44,-28,,,,,,,,,,
-28_2921,0.0482,5.57,-28,,,,,,,,,,
-28_2926,0.056,5.81,-28,,,,,,,,,,
-28_2928,0.04335,0.16,-28,,,,,,,,,,
-28_2929,0.05595,8.72,-28,,,,,,,,,,
-28_2939,0.0442,4.48,-28,,,,,,,,,,
