"","temp","treatment","mean_phago","median_phago","mean_bird_cv_phago","mean_bird_pv_phago","mean_bird_v2_phago","mean_cv_lower_ci_phago","mean_cv_upper_ci_phago","mean_pv_lower_ci_phago","mean_pv_upper_ci_phago","mean_v2_lower_ci_phago","mean_v2_upper_ci_phago"
"1","Cold","Control",0.074039565541109,0.0682509880575774,0.710012175587128,0.531524649162015,0.335158230682655,0.354768669837424,1.01850958872637,0.264290523298231,0.613653915091652,0.108335192127144,0.499790131848063
"2","Cold","Infected",0.121501818723082,0.113798936891912,0.696943454433019,0.577448384283072,0.326930276875408,0.46402433602346,0.940651006265603,0.416033212097219,0.637859531875433,0.174154084062192,0.477004040335641
"3","Warm","Control",0.0944914828891043,0.0745828599829594,0.710384715123995,0.472066366805482,0.335392042208953,0.279961240287931,0.959458697192059,0.239303029195047,0.585740525112194,0.0708354085244753,0.452320808249179
"4","Warm","Infected",0.138415799196888,0.137987130859314,0.465454988400215,0.414497571771533,0.178069815241655,0.308531850821228,0.586487259371597,0.281670368113421,0.478893964027862,0.0880956729082508,0.26051872446964
