temp,treatment,mean_value,median_value,cv,pv,v2,cv_lower_ci,cv_upper_ci,pv_lower_ci,pv_upper_ci,v2_lower_ci,v2_upper_ci,yhat,Upper,Lower,experiment,test,filter
Warm,Low,3.759530783,4.076899255,0.393162547,0.3570716,0.133881774,0.318754086,0.4756806,0.294522302,0.410026877,0.095940649,0.179105314,3.776007462,4.628335121,2.923679804,ti22,max_log10_quantity1,
Cold,Control,0.074039566,0.068250988,0.710012176,0.531524649,0.335158231,0.35476867,1.018509589,0.264290523,0.613653915,0.108335192,0.499790132,0.057814297,0.086648244,0.038174391,ti22,phagocytosis,Treatment_Control
Cold,Low,0.121501819,0.113798937,0.696943454,0.577448384,0.326930277,0.464024336,0.940651006,0.416033212,0.637859532,0.174154084,0.47700404,0.093435716,0.131844418,0.065373612,ti22,phagocytosis,Treatment_Infected
Warm,Control,0.094491483,0.07458286,0.710384715,0.472066367,0.335392042,0.27996124,0.959458697,0.239303029,0.585740525,0.070835409,0.452320808,0.078600099,0.116268726,0.052411542,ti22,phagocytosis,Treatment_Control
Warm,Low,0.138415799,0.137987131,0.465454988,0.414497572,0.178069815,0.308531851,0.586487259,0.281670368,0.478893964,0.088095673,0.260518724,0.125324876,0.173816081,0.088905984,ti22,phagocytosis,Treatment_Infected
Cold,Control,32.40220588,32.3875,0.022610541,0.02526289,0.000510975,0.019039417,0.025779029,0.021240226,0.028672583,0.000366059,0.000671856,,,,ti22,fever_max,ever_infected_0
Cold,Low,32.3625,32.225,0.024549936,0.026395205,0.000602336,0.012839157,0.033238461,0.014274588,0.035238303,0.000159744,0.001113856,,,,ti22,fever_max,ever_infected_0
Cold,Low,32.99654762,32.4875,0.050640334,0.048779368,0.002557884,0.040745994,0.060294762,0.038428991,0.057873564,0.001584704,0.003507157,,,,ti22,fever_max,ever_infected_1
Warm,Control,36.03514493,35.925,0.025795453,0.028603036,0.000664963,0.021462648,0.029519211,0.02369019,0.032909515,0.000470877,0.000869223,,,,ti22,fever_max,ever_infected_0
Warm,Low,36.43928571,36.275,0.010508768,0.012354901,0.000110422,0.003483199,0.012808213,0.004993164,0.014713832,1.89E-05,0.000164012,,,,ti22,fever_max,ever_infected_0
Warm,Low,36.76861111,36.35,0.042800762,0.044938099,0.001828555,0.035307074,0.049690178,0.03764816,0.051462688,0.00125065,0.002405026,,,,ti22,fever_max,ever_infected_1
Cold,Control,32.40220588,32.3875,0.022610541,0.02526289,0.000510975,0.018733688,0.025757938,0.021103014,0.028623827,0.000357079,0.000646097,33.39479159,34.19984305,32.58974014,ti22,max_fever_score,
Cold,Low,32.90596939,32.4375,0.048274976,0.045892435,0.002325055,0.038120193,0.056424991,0.036894928,0.054481815,0.001394529,0.003223298,34.66622016,35.38552332,33.94691701,ti22,max_fever_score,
Warm,Control,36.03514493,35.925,0.025795453,0.028603036,0.000664963,0.021787467,0.029562303,0.023715673,0.032522116,0.000453309,0.000902326,37.13020828,37.93525974,36.32515683,ti22,max_fever_score,
Warm,Low,36.74484536,36.325,0.041385368,0.043080365,0.00170982,0.034455441,0.047854432,0.03601857,0.049336348,0.00118234,0.002267739,38.40163685,39.12094001,37.6823337,ti22,max_fever_score,
Cold,Control,32.455,32.5125,0.026614117,0.030980089,0.00070781,0.015204259,0.03377505,0.01649555,0.038996265,0.000224662,0.001128026,,,,ti22,peak_fever_score,
Cold,Low,33.99285714,32.875,0.071153352,0.073915421,0.005037297,0.04251848,0.085974462,0.04266933,0.089419199,0.002095643,0.007468858,,,,ti22,peak_fever_score,
Warm,Control,35.3975,35.4,0.020605638,0.023406972,0.000424412,0.009950159,0.027925474,0.009871711,0.031707507,7.15E-05,0.000786785,,,,ti22,peak_fever_score,
Warm,Low,37.50178571,37.5125,0.055564955,0.060991679,0.003077961,0.037493502,0.069904902,0.039806517,0.073696393,0.001380829,0.004690635,,,,ti22,peak_fever_score,
Cold,High,0.151,0.001,1.599489707,0.465735196,0.718972239,0,3.100272216,0,0.554446662,0,0.905764284,,,,tg23,eye_score_dpi3,
Cold,Low,0.001,0.001,0,0,0,0,0,0,0,0,0,,,,tg23,eye_score_dpi3,
Warm,High,0.201,0.001,2.403213391,0.369887215,0.852407992,0,3.141335424,0,0.613817889,0,0.907986651,,,,tg23,eye_score_dpi3,
Warm,Low,0.051,0.001,3.100272216,0.199600798,0.905764284,0,3.100272216,0,0.465735196,0,0.905764284,,,,tg23,eye_score_dpi3,
Cold,High,2.001,1.751,0.58896117,0.483404422,0.257540747,0.342812098,0.795733877,0.268423031,0.536295757,0.108033363,0.389769709,,,,tg23,eye_score_dpi6,
Cold,Low,0.251,0.001,2.151640338,0.362661988,0.822366102,0,3.141335424,0,0.584758346,0,0.907986651,,,,tg23,eye_score_dpi6,
Warm,High,1.901,1.751,0.47699353,0.419921825,0.185351199,0.254851083,0.649921932,0.224703403,0.503485644,0.066172567,0.29700763,,,,tg23,eye_score_dpi6,
Warm,Low,0.251,0.001,2.528477127,0.371770203,0.86474051,0,3.146544935,0,0.621745016,0,0.908263151,,,,tg23,eye_score_dpi6,
Cold,High,2.151,1.751,0.537379231,0.4315135,0.224070234,0.340707225,0.655615372,0.278368924,0.442710959,0.1063793,0.299412748,,,,tg23,eye_score_dpi8,
Cold,Low,0.701,0.501,1.174425966,0.692603683,0.57970414,0.656248451,1.916674424,0.466199175,0.699394445,0.301022897,0.786034051,,,,tg23,eye_score_dpi8,
Warm,High,2.101,2.001,0.292544644,0.244350197,0.078835445,0.138382792,0.377993801,0.118837467,0.30466058,0.018789973,0.125016974,,,,tg23,eye_score_dpi8,
Warm,Low,0.551,0.001,1.568820627,0.606083292,0.711082708,0.850951821,3.13096798,0.1998002,0.695600464,0.418868168,0.907432782,,,,tg23,eye_score_dpi8,
