"","temp","treatment","mean_elisa","median_elisa","mean_bird_cv_elisa","mean_bird_pv_elisa","mean_bird_v2_elisa","mean_cv_lower_ci_elisa","mean_cv_upper_ci_elisa","mean_pv_lower_ci_elisa","mean_pv_upper_ci_elisa","mean_v2_lower_ci_elisa","mean_v2_upper_ci_elisa"
"1","Cold","Control",0.046,0.045,0.0614875461901346,0.0682543805400949,0.00376647834274954,0.0182521178597307,0.0725624291382875,0.0133333333333334,0.077959595959596,0.00033403852577664,0.00524233382403934
"2","Cold","Infected",0.0521321428571429,0.0495,0.169400857564292,0.161519606529071,0.0278961251874939,0.106350801916265,0.211904204874732,0.0996249278884781,0.196167486546469,0.0099411808335655,0.0426649967634434
"3","Warm","Control",0.0448888888888889,0.044,0.0465221438841894,0.0505666608800832,0.00215963575060716,0.0221990554372283,0.0591135691240093,0.0210686118430684,0.0642032570604,0.000426731564466965,0.00354999181196656
"4","Warm","Infected",0.0526041666666667,0.051,0.147102992035037,0.128356917345738,0.0211809495502403,0.0431397709828404,0.184368041394395,0.0437587193803501,0.174855666279102,0.00181389349349412,0.0324650210887596
