"","dpi","temp","mean_quant","median_eye_score","mean_bird_cv_quantity","mean_bird_pv_quantity","mean_bird_v2_quantity","mean_cv_lower_ci_quantity","mean_cv_upper_ci_quantity","mean_pv_lower_ci_quantity","mean_pv_upper_ci_quantity","mean_v2_lower_ci_quantity","mean_v2_upper_ci_quantity"
"1",-12,"Cold",1,1,0,0,0,0,0,0,0,0,0
"2",-12,"Warm",1,1,0,0,0,0,0,0,0,0,0
"3",3,"Cold",2.58266803378571,1,1.53906834859793,0.350791175664968,0.703152348256264,0.186951264178079,1.86012104023955,0.0933584073890127,0.535450769908003,0.0337704710369224,0.77578728125314
"4",3,"Warm",16.6486295822143,1.3790457745,2.91321744417357,0.57238134501427,0.894590776844734,0.813328159180439,3.28852295425458,0.288204707711217,0.689471756370012,0.450663870108743,0.915536487354986
"5",9,"Cold",45084.9942733249,749.47547605,1.51465759613831,0.83354557194143,0.69643502093852,0.973685539005985,2.7739775068964,0.668118288604071,0.83846690560654,0.469219630741935,0.877010309415778
"6",9,"Warm",67008.4572506665,13168.241575,1.25163578070629,0.822688701634052,0.61037829530132,0.784643864565224,2.00506380049615,0.631748958429779,0.837789551585515,0.387807941966133,0.809484285565946
"7",14,"Cold",25007.0702335714,1,1.7784794533914,0.59757348730809,0.759787988848328,0.926749100366197,2.68048077138505,0.364065201636548,0.674744858361611,0.47066316955869,0.875771718002149
"8",14,"Warm",30803.0153475786,196.92443805,2.27159298528436,0.765830050907035,0.837665887160781,1.05561786757017,2.97736485675542,0.490063313598306,0.816486206362465,0.521874448617439,0.89856342808436
"9",21,"Cold",7748.36981456357,1.777742455,3.31850841709356,0.70532533926668,0.916753368826103,1.50224982669571,3.71377590286511,0.389651830872309,0.812220152989671,0.690614603665889,0.932669249977374
"10",21,"Warm",2673.83280805308,46.43174405,1.9330389928661,0.750438665632968,0.788879869862439,1.12120407509798,3.41290332206933,0.417915794040231,0.803709201904241,0.563225589059802,0.920610165693103
"11",28,"Cold",1152.296343224,1,3.7278819507867,0.573214748293615,0.932872858321497,0.90289356753135,3.73367560924906,0.239966961637192,0.694642650807875,0.454040535284893,0.933101722152679
"12",28,"Warm",27.6165887255714,3.110234689,1.807397163127,0.69072301920979,0.765625979900175,1.07356426304033,2.59258312388702,0.444120069900736,0.730890057824616,0.541531607974108,0.881740012552448
