"","temp","mean_bird_pv_t2p","mean_bird_pv_t2i","mean_pv_lower_ci_t2i","mean_pv_upper_ci_t2i","mean_pv_lower_ci_t2p","mean_pv_upper_ci_t2p"
"1","Cold",0.247978436657682,0,0,0,0.20985990482846,0.259361169345446
"2","Warm",0.0845070422535227,0.147887323943663,0.0709441836202398,0.223004694835682,0.058337680403409,0.102156146757088
